Round,Route,Cost,Trpf,SelfishAgentCount,TrpfAgentCount
0.0,0.0,50.0,1.0,4.0,63.0
0.0,1.0,53.3,1.0,3.0,72.0
0.0,2.0,39.1,1.0,6.0,52.0
1.0,0.0,50.0,-6.0,5.0,66.0
1.0,1.0,52.9,-6.0,4.0,64.0
1.0,2.0,39.0,-2.0,4.0,57.0
2.0,0.0,50.0,-6.0,5.0,46.0
2.0,1.0,54.9,-5.162393162393163,3.0,46.0
2.0,2.0,44.9,-3.24223602484472,5.0,95.0
3.0,0.0,50.0,-6.0,4.0,39.0
3.0,1.0,55.7,-4.0,3.0,41.0
3.0,2.0,47.0,-4.0,6.0,107.0
4.0,0.0,50.0,-6.0,4.0,34.0
4.0,1.0,56.2,-5.145631067961165,4.0,55.0
4.0,2.0,46.5,-4.0,5.0,98.0
5.0,0.0,50.0,-6.0,5.0,29.0
5.0,1.0,56.6,-5.1568627450980395,3.0,40.0
5.0,2.0,48.9,-4.0,5.0,118.0
6.0,0.0,50.0,-6.0,5.0,26.0
6.0,1.0,56.900000000000006,-4.0,3.0,35.0
6.0,2.0,50.0,-5.031496062992126,5.0,126.0
7.0,0.0,50.0,-6.0,6.0,23.0
7.0,1.0,57.1,-5.302752293577981,3.0,68.0
7.0,2.0,47.1,-5.134199134199134,4.0,96.0
8.0,0.0,50.0,-6.0,5.0,21.0
8.0,1.0,57.400000000000006,-6.0,5.0,58.0
8.0,2.0,48.5,-4.0,3.0,108.0
9.0,0.0,50.0,-6.0,4.0,18.0
9.0,1.0,57.8,-6.0,5.0,47.0
9.0,2.0,50.400000000000006,-5.063291139240507,4.0,122.0
10.0,0.0,50.0,-6.0,2.0,14.0
10.0,1.0,58.400000000000006,-5.061224489795919,6.0,40.0
10.0,2.0,52.2,-6.0,5.0,133.0
11.0,0.0,50.0,-6.0,1.0,9.0
11.0,1.0,59.0,-5.252032520325203,7.0,70.0
11.0,2.0,50.3,-5.099601593625498,5.0,108.0
12.0,0.0,50.0,-6.0,2.0,7.0
12.0,1.0,59.1,-6.0,5.0,54.0
12.0,2.0,52.300000000000004,-5.077551020408163,6.0,126.0
13.0,0.0,50.0,-6.0,2.0,6.0
13.0,1.0,59.2,-5.092592592592593,4.0,45.0
13.0,2.0,53.5,-6.0,7.0,136.0
14.0,0.0,50.0,-6.0,3.0,5.0
14.0,1.0,59.2,-5.203252032520325,3.0,71.0
14.0,2.0,51.0,-5.095785440613027,7.0,111.0
15.0,0.0,50.0,-6.0,3.0,3.0
15.0,1.0,59.400000000000006,-6.0,3.0,58.0
15.0,2.0,52.7,-5.059760956175299,7.0,126.0
16.0,0.0,50.0,-6.0,4.0,3.0
16.0,1.0,59.3,-6.0,3.0,47.0
